%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
5531.65,5571.45,TE,1550,Xu,APGw505p318c22_10,no commment
6251.65,5871.45,TE,1550,Xu,APGw500p324c28_11,no commment
6171.65,5871.45,TE,1550,Xu,APGw500p324c24_12,no commment
6091.65,5871.45,TE,1550,Xu,APGw500p324c22_13,no commment
6011.65,5871.45,TE,1550,Xu,APGw500p324c20_14,no commment
5931.65,5871.45,TE,1550,Xu,APGw500p324c18_15,no commment
5851.65,5871.45,TE,1550,Xu,APGw500p324c16_16,no commment
5771.65,5871.45,TE,1550,Xu,APGw500p324c14_17,no commment
5691.65,5871.45,TE,1550,Xu,APGw500p318c28_18,no commment
5611.65,5871.45,TE,1550,Xu,APGw500p318c24_19,no commment
5531.65,5871.45,TE,1550,Xu,APGw500p318c22_20,no commment
6251.65,6171.45,TE,1550,Xu,APGw495p324c28_21,no commment
6171.65,6171.45,TE,1550,Xu,APGw495p324c24_22,no commment
6091.65,6171.45,TE,1550,Xu,APGw495p324c22_23,no commment
6011.65,6171.45,TE,1550,Xu,APGw495p324c20_24,no commment
5931.65,6171.45,TE,1550,Xu,APGw495p324c18_25,no commment
5851.65,6171.45,TE,1550,Xu,APGw495p324c16_26,no commment
5771.65,6171.45,TE,1550,Xu,APGw495p324c14_27,no commment
5691.65,6171.45,TE,1550,Xu,APGw495p318c28_28,no commment
5611.65,6171.45,TE,1550,Xu,APGw495p318c24_29,no commment
5531.65,6171.45,TE,1550,Xu,APGw495p318c22_30,no commment
5451.65,5871.45,TE,1550,Xu,APGw500p318c20_31,no commment
5371.65,5871.45,TE,1550,Xu,APGw500p318c18_32,no commment
5291.65,5871.45,TE,1550,Xu,APGw500p318c16_33,no commment
5211.65,5871.45,TE,1550,Xu,APGw500p318c14_34,no commment
5131.65,5871.45,TE,1550,Xu,APGw500p312c28_35,no commment
5051.65,5871.45,TE,1550,Xu,APGw500p312c24_36,no commment
4971.65,5871.45,TE,1550,Xu,APGw500p312c22_37,no commment
4891.65,5871.45,TE,1550,Xu,APGw500p312c20_38,no commment
